[0.000000] (-) TimerEvent: {}
[0.000657] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.001234] (-) JobUnselected: {'identifier': 'aruco'}
[0.001549] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.001865] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.001983] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.002073] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.002158] (-) JobUnselected: {'identifier': 'auto_recharge_ros2'}
[0.002240] (-) JobUnselected: {'identifier': 'bodyreader'}
[0.002322] (-) JobUnselected: {'identifier': 'bodyreader_msg'}
[0.002401] (-) JobUnselected: {'identifier': 'cloud_msgs'}
[0.002487] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.002567] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.002646] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.002691] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002730] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002766] (-) JobUnselected: {'identifier': 'fdilink_ahrs'}
[0.002802] (-) JobUnselected: {'identifier': 'hipnuc_imu'}
[0.002837] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.002873] (-) JobUnselected: {'identifier': 'lego_loam_sr'}
[0.002955] (-) JobUnselected: {'identifier': 'lio_sam'}
[0.003034] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.003148] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.003225] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.003302] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.003378] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.003454] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.003549] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.003624] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.003700] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.003776] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.003852] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.003927] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.004002] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.004099] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.004195] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.004271] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.004345] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.004418] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.004491] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.004565] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.004639] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.004739] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.004813] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.004873] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.004975] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.005019] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.005101] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.005179] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.005254] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.005331] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.005407] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.005483] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.005559] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.005635] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.005712] (-) JobUnselected: {'identifier': 'navigation2'}
[0.005788] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.005865] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.005940] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.006016] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.006093] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.006168] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.006243] (-) JobUnselected: {'identifier': 'pointcloud_to_laserscan'}
[0.006318] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.006394] (-) JobUnselected: {'identifier': 'serial'}
[0.006466] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.006544] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.006620] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.006693] (-) JobUnselected: {'identifier': 'tts'}
[0.006770] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.006845] (-) JobUnselected: {'identifier': 'ublox'}
[0.006923] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.007000] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.007076] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.007152] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
[0.007229] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.007304] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.007378] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.007469] (-) JobUnselected: {'identifier': 'wheeltec_dual_rtk_driver'}
[0.007546] (-) JobUnselected: {'identifier': 'wheeltec_gps_driver'}
[0.007622] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.007697] (-) JobUnselected: {'identifier': 'wheeltec_mic_aiui'}
[0.007773] (-) JobUnselected: {'identifier': 'wheeltec_mic_msg'}
[0.007848] (-) JobUnselected: {'identifier': 'wheeltec_mic_ros2'}
[0.007921] (-) JobUnselected: {'identifier': 'wheeltec_multi'}
[0.007997] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.008072] (-) JobUnselected: {'identifier': 'wheeltec_path_follow'}
[0.008147] (-) JobUnselected: {'identifier': 'wheeltec_radar'}
[0.008223] (-) JobUnselected: {'identifier': 'wheeltec_robot_kcf'}
[0.008298] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.008372] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.008449] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.008524] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.008598] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.008673] (-) JobUnselected: {'identifier': 'wheeltec_rviz2'}
[0.008748] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.008823] (-) JobUnselected: {'identifier': 'yesense_interface'}
[0.008912] (-) JobUnselected: {'identifier': 'yesense_std_ros2'}
[0.008997] (wheeltec_robot_urdf) JobQueued: {'identifier': 'wheeltec_robot_urdf', 'dependencies': OrderedDict()}
[0.009089] (wheeltec_robot_urdf) JobStarted: {'identifier': 'wheeltec_robot_urdf'}
[0.098990] (-) TimerEvent: {}
[0.119999] (wheeltec_robot_urdf) JobProgress: {'identifier': 'wheeltec_robot_urdf', 'progress': 'cmake'}
[0.122389] (wheeltec_robot_urdf) JobProgress: {'identifier': 'wheeltec_robot_urdf', 'progress': 'build'}
