[0.000000] (-) TimerEvent: {}
[0.001410] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.001608] (-) JobUnselected: {'identifier': 'aruco'}
[0.001906] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.002387] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.002667] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.002987] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.003090] (-) JobUnselected: {'identifier': 'auto_recharge_ros2'}
[0.003165] (-) JobUnselected: {'identifier': 'bodyreader'}
[0.003235] (-) JobUnselected: {'identifier': 'bodyreader_msg'}
[0.003304] (-) JobUnselected: {'identifier': 'cloud_msgs'}
[0.003369] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.003436] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.003501] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.003567] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.003631] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.003696] (-) JobUnselected: {'identifier': 'fdilink_ahrs'}
[0.003762] (-) JobUnselected: {'identifier': 'hipnuc_imu'}
[0.003828] (-) JobUnselected: {'identifier': 'interfaces'}
[0.003893] (-) JobUnselected: {'identifier': 'largemodel'}
[0.003962] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.004027] (-) JobUnselected: {'identifier': 'lego_loam_sr'}
[0.004095] (-) JobUnselected: {'identifier': 'lio_sam'}
[0.004159] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.004225] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.004292] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.004357] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.004421] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.004486] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.004550] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.004615] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.004679] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.004744] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.004809] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.004873] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.004937] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.005002] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.005067] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.005131] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.005210] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.005277] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.005344] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.005411] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.005476] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.005542] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.005606] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.005671] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.005735] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.005800] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.005864] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.005928] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.005993] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.006058] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.006123] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.006187] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.006253] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.006318] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.006382] (-) JobUnselected: {'identifier': 'navigation2'}
[0.006446] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.006510] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.006575] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.006640] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.006705] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.006771] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.006835] (-) JobUnselected: {'identifier': 'pointcloud_to_laserscan'}
[0.006903] (-) JobUnselected: {'identifier': 'qt_ros_test'}
[0.006970] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.007037] (-) JobUnselected: {'identifier': 'serial'}
[0.007103] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.007168] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.007232] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.007297] (-) JobUnselected: {'identifier': 'tts'}
[0.007367] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.007435] (-) JobUnselected: {'identifier': 'ublox'}
[0.007501] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.007568] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.007635] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.007700] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
[0.007782] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.007853] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.007921] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.007989] (-) JobUnselected: {'identifier': 'wheeltec_dual_rtk_driver'}
[0.008056] (-) JobUnselected: {'identifier': 'wheeltec_gps_driver'}
[0.008122] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.008191] (-) JobUnselected: {'identifier': 'wheeltec_mic_aiui'}
[0.008258] (-) JobUnselected: {'identifier': 'wheeltec_mic_msg'}
[0.008325] (-) JobUnselected: {'identifier': 'wheeltec_mic_ros2'}
[0.008430] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.008499] (-) JobUnselected: {'identifier': 'wheeltec_path_follow'}
[0.008566] (-) JobUnselected: {'identifier': 'wheeltec_radar'}
[0.008634] (-) JobUnselected: {'identifier': 'wheeltec_robot_kcf'}
[0.008701] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.008769] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.008835] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.008903] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.008969] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.009036] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.009103] (-) JobUnselected: {'identifier': 'wheeltec_rviz2'}
[0.009180] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.009251] (-) JobUnselected: {'identifier': 'yesense_interface'}
[0.009320] (-) JobUnselected: {'identifier': 'yesense_std_ros2'}
[0.009406] (wheeltec_multi) JobQueued: {'identifier': 'wheeltec_multi', 'dependencies': OrderedDict([('nav2_common', '/home/wheeltec/wheeltec_ros2/install/nav2_common'), ('serial', '/home/wheeltec/wheeltec_ros2/install/serial'), ('nav2_msgs', '/home/wheeltec/wheeltec_ros2/install/nav2_msgs')])}
[0.009509] (wheeltec_multi) JobStarted: {'identifier': 'wheeltec_multi'}
[0.099820] (-) TimerEvent: {}
[0.200307] (-) TimerEvent: {}
[0.245351] (wheeltec_multi) JobProgress: {'identifier': 'wheeltec_multi', 'progress': 'cmake'}
[0.247295] (wheeltec_multi) JobProgress: {'identifier': 'wheeltec_multi', 'progress': 'build'}
